Salary_men,Salary_woman,Age_men,Age_woman,Years_exp_men,Years_exp_woman
90000.0,65000.0,32.0,28.0,5.0,3.0
150000.0,60000.0,45.0,36.0,15.0,7.0
200000.0,120000.0,52.0,42.0,20.0,12.0
55000.0,45000.0,29.0,26.0,2.0,1.0
80000.0,140000.0,31.0,48.0,4.0,18.0
110000.0,130000.0,38.0,40.0,10.0,14.0
75000.0,90000.0,29.0,33.0,3.0,7.0
65000.0,35000.0,35.0,25.0,6.0,0.0
40000.0,80000.0,27.0,34.0,2.0,5.0
125000.0,60000.0,44.0,36.0,16.0,9.0
115000.0,45000.0,39.0,28.0,12.0,3.0
180000.0,110000.0,51.0,37.0,22.0,11.0
190000.0,140000.0,47.0,43.0,19.0,15.0
50000.0,55000.0,30.0,31.0,2.0,4.0
140000.0,65000.0,41.0,39.0,13.0,10.0
40000.0,60000.0,24.0,35.0,1.0,7.0
90000.0,40000.0,33.0,26.0,6.0,1.0
250000.0,80000.0,50.0,34.0,25.0,5.0
75000.0,45000.0,29.0,36.0,3.0,8.0
170000.0,40000.0,46.0,28.0,20.0,2.0
45000.0,180000.0,27.0,45.0,2.0,16.0
115000.0,130000.0,42.0,51.0,14.0,22.0
160000.0,60000.0,49.0,40.0,21.0,12.0
190000.0,50000.0,48.0,29.0,18.0,3.0
60000.0,65000.0,30.0,27.0,3.0,2.0
130000.0,55000.0,41.0,30.0,13.0,4.0
75000.0,170000.0,32.0,51.0,5.0,23.0
120000.0,80000.0,38.0,40.0,11.0,12.0
35000.0,90000.0,25.0,38.0,0.0,10.0
85000.0,45000.0,33.0,31.0,7.0,5.0
200000.0,150000.0,47.0,49.0,19.0,18.0
95000.0,70000.0,36.0,39.0,9.0,11.0
140000.0,120000.0,43.0,42.0,17.0,14.0
105000.0,160000.0,35.0,50.0,7.0,22.0
50000.0,180000.0,29.0,48.0,3.0,20.0
180000.0,55000.0,47.0,30.0,21.0,3.0
35000.0,80000.0,26.0,41.0,1.0,13.0
120000.0,40000.0,46.0,29.0,19.0,2.0
90000.0,95000.0,34.0,34.0,8.0,10.0
65000.0,80000.0,33.0,40.0,6.0,15.0
190000.0,55000.0,45.0,31.0,16.0,6.0
40000.0,40000.0,28.0,29.0,2.0,3.0
95000.0,170000.0,37.0,52.0,10.0,25.0
100000.0,65000.0,32.0,39.0,6.0,12.0
70000.0,90000.0,36.0,38.0,8.0,10.0
30000.0,45000.0,25.0,31.0,0.0,5.0
250000.0,150000.0,52.0,49.0,24.0,19.0
45000.0,80000.0,27.0,39.0,2.0,13.0
135000.0,50000.0,46.0,30.0,21.0,3.0
120000.0,100000.0,36.0,41.0,11.0,14.0
105000.0,110000.0,43.0,42.0,18.0,15.0
75000.0,130000.0,33.0,50.0,7.0,22.0
160000.0,35000.0,47.0,23.0,22.0,0.5
35000.0,65000.0,26.0,40.0,1.0,15.0
110000.0,45000.0,45.0,29.0,20.0,3.0
95000.0,100000.0,35.0,42.0,8.0,17.0
50000.0,50000.0,33.0,33.0,5.0,5.0
220000.0,140000.0,44.0,44.0,16.0,16.0
60000.0,95000.0,36.0,37.0,7.0,9.0
40000.0,50000.0,28.0,32.0,2.0,4.0
95000.0,160000.0,37.0,50.0,9.0,21.0
90000.0,100000.0,32.0,40.0,6.0,12.0
95000.0,55000.0,31.0,39.0,6.0,10.0
170000.0,50000.0,48.0,30.0,20.0,4.0
120000.0,120000.0,35.0,43.0,10.0,14.0
180000.0,110000.0,53.0,41.0,25.0,13.0
80000.0,40000.0,38.0,25.0,11.0,1.5
40000.0,150000.0,26.0,42.0,2.0,16.0
110000.0,80000.0,45.0,38.0,18.0,10.0
105000.0,45000.0,34.0,29.0,8.0,3.0
45000.0,140000.0,29.0,43.0,3.0,18.0
160000.0,95000.0,47.0,37.0,22.0,9.0
35000.0,50000.0,27.0,32.0,1.0,5.0
140000.0,185000.0,46.0,51.0,19.0,23.0
60000.0,90000.0,36.0,39.0,7.0,12.0
40000.0,45000.0,28.0,30.0,2.0,3.0
50000.0,120000.0,33.0,41.0,5.0,13.0
135000.0,110000.0,47.0,40.0,20.0,14.0
90000.0,50000.0,34.0,31.0,8.0,4.0
60000.0,180000.0,31.0,50.0,4.0,20.0
175000.0,,45.0,,19.0,
120000.0,140000.0,36.0,43.0,11.0,16.0
35000.0,45000.0,26.0,26.0,2.0,1.5
110000.0,85000.0,44.0,35.0,14.0,7.0
115000.0,140000.0,33.0,42.0,7.0,18.0
40000.0,50000.0,28.0,31.0,2.0,4.0
